ENSMUSG00000029811	Aoc1
ENSMUSG00000027896	Slc16a4
ENSMUSG00000062908	Acadm
ENSMUSG00000028222	Calb1
ENSMUSG00000032332	Col12a1
ENSMUSG00000036887	C1qa
ENSMUSG00000018796	Acsl1
ENSMUSG00000036905	C1qb
ENSMUSG00000027870	Hao2
ENSMUSG00000030364	Clec2h
ENSMUSG00000027962	Vcam1
ENSMUSG00000036896	C1qc
ENSMUSG00000000957	Mmp14
ENSMUSG00000006342	Susd2
ENSMUSG00000049152	Ugt3a2
ENSMUSG00000039783	Kmo
ENSMUSG00000035356	Nfkbiz
ENSMUSG00000032047	Acat1
ENSMUSG00000072664	Ugt3a1
ENSMUSG00000003617	Cp
ENSMUSG00000024757	Slc22a19
ENSMUSG00000069456	Rdh16
ENSMUSG00000036083	Slc17a3
ENSMUSG00000031725	Ces1f
ENSMUSG00000053897	Slc39a8
ENSMUSG00000074639	Rdh16f2
ENSMUSG00000024501	Dpysl3
ENSMUSG00000006345	Ggt1
ENSMUSG00000076441	Ass1
ENSMUSG00000002983	Relb
ENSMUSG00000053168	9030619P08Rik
ENSMUSG00000026712	Mrc1
ENSMUSG00000005087	Cd44
ENSMUSG00000063903	Klk1
ENSMUSG00000001435	Col18a1
ENSMUSG00000078650	G6pc
ENSMUSG00000028581	Laptm5
ENSMUSG00000026368	F13b
ENSMUSG00000026043	Col3a1
ENSMUSG00000030707	Coro1a
ENSMUSG00000027995	Tlr2
ENSMUSG00000020182	Ddc
ENSMUSG00000001025	S100a6
ENSMUSG00000001506	Col1a1
ENSMUSG00000027332	Ivd
ENSMUSG00000036330	Slc18a1
ENSMUSG00000045136	Tubb2b
ENSMUSG00000000154	Slc22a18
ENSMUSG00000032085	Tagln
ENSMUSG00000035910	Dcdc2a
ENSMUSG00000071711	Mpst
ENSMUSG00000059498	Fcgr3
ENSMUSG00000001755	Ppat
ENSMUSG00000045725	Prr15
ENSMUSG00000006574	Slc4a1
ENSMUSG00000023885	Thbs2
ENSMUSG00000069805	Fbp1
ENSMUSG00000042102	Dmgdh
ENSMUSG00000040659	Efhd2
ENSMUSG00000058952	Cfi
ENSMUSG00000040552	C3ar1
ENSMUSG00000029622	Arpc1b
ENSMUSG00000052336	Cx3cr1
ENSMUSG00000020814	Mxra7
ENSMUSG00000021567	Nkd2
ENSMUSG00000029776	Hibadh
ENSMUSG00000056666	Retsat
ENSMUSG00000028364	Tnc
ENSMUSG00000026728	Vim
ENSMUSG00000029304	Spp1
ENSMUSG00000038642	Ctss
ENSMUSG00000022440	C1qtnf6
ENSMUSG00000016024	Lbp
ENSMUSG00000021750	Fam107a
ENSMUSG00000042436	Mfap4
ENSMUSG00000024909	Efemp2
ENSMUSG00000040663	Clcf1
ENSMUSG00000038418	Egr1
ENSMUSG00000025225	Nfkb2
ENSMUSG00000024313	Mep1b
ENSMUSG00000031004	Mki67
ENSMUSG00000019850	Tnfaip3
ENSMUSG00000031750	Il34
ENSMUSG00000022790	Igsf11
ENSMUSG00000018920	Cxcl16
ENSMUSG00000025465	Echs1
ENSMUSG00000027070	Lrp2
ENSMUSG00000042662	Dusp15
ENSMUSG00000021423	Ly86
ENSMUSG00000026295	Spp2
ENSMUSG00000033488	Cryzl2
ENSMUSG00000032263	Bckdhb
ENSMUSG00000030630	Fah
ENSMUSG00000033220	Rac2
ENSMUSG00000031673	Cdh11
ENSMUSG00000030087	Klf15
ENSMUSG00000067206	Lrrc66
ENSMUSG00000001525	Tubb5
ENSMUSG00000018774	Cd68
ENSMUSG00000032231	Anxa2
