"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000000001",1959,1868,2226,4508,3627,3042,3137
"ENSMUSG00000000003",0,0,0,0,0,0,0
"ENSMUSG00000000028",31,44,45,163,160,171,147
"ENSMUSG00000000031",1,3,1,634,174,48,20
"ENSMUSG00000000037",5,7,9,21,28,29,22
"ENSMUSG00000000049",0,1,1,5,6,3,14
"ENSMUSG00000000056",958,1269,1153,1159,789,803,1046
"ENSMUSG00000000058",759,619,837,1302,1345,1146,1132
"ENSMUSG00000000078",713,659,773,6405,5710,5317,5633
"ENSMUSG00000000085",550,586,530,1184,867,1198,878
"ENSMUSG00000000088",3720,3564,5315,2671,1996,2453,1657
"ENSMUSG00000000093",1611,1672,1945,2604,1878,2561,1512
"ENSMUSG00000000094",0,0,4,2,2,8,2
"ENSMUSG00000000103",0,0,0,0,0,0,0
"ENSMUSG00000000120",43,64,28,187,167,152,149
"ENSMUSG00000000125",0,0,0,2,0,1,0
"ENSMUSG00000000126",38,46,59,138,120,100,81
"ENSMUSG00000000127",205,253,203,628,462,455,440
"ENSMUSG00000000131",1201,1282,1355,2555,1993,2129,1847
"ENSMUSG00000000134",690,720,851,2188,1637,1917,1617
"ENSMUSG00000000142",20,49,44,271,159,217,188
"ENSMUSG00000000148",418,485,493,1004,728,873,689
"ENSMUSG00000000149",2400,2974,2969,3699,2860,3487,2923
"ENSMUSG00000000154",9302,10838,14564,2429,2196,2422,2161
"ENSMUSG00000000157",147,117,143,287,234,215,250
"ENSMUSG00000000159",1164,1434,1273,2025,1915,1891,1821
"ENSMUSG00000000167",72,126,83,163,99,148,121
"ENSMUSG00000000168",2748,2212,3140,1850,1518,1636,1428
"ENSMUSG00000000171",5416,5789,7350,3935,3484,4183,3711
"ENSMUSG00000000182",0,0,0,1,0,0,1
"ENSMUSG00000000183",0,0,1,0,0,0,0
"ENSMUSG00000000184",235,307,320,1147,932,834,720
"ENSMUSG00000000194",1174,1363,1424,2531,1960,1947,1901
"ENSMUSG00000000197",4,1,3,8,0,0,2
"ENSMUSG00000000202",1,3,0,56,40,48,17
"ENSMUSG00000000204",3,3,8,91,46,52,34
"ENSMUSG00000000214",0,0,0,0,0,0,0
"ENSMUSG00000000215",7,13,8,2,0,0,0
"ENSMUSG00000000216",892,1079,1163,1244,1048,915,979
"ENSMUSG00000000223",3,1,1,28,27,34,33
"ENSMUSG00000000244",13,10,3,164,93,79,168
"ENSMUSG00000000247",0,1,3,21,41,69,34
"ENSMUSG00000000248",1,0,0,35,9,13,12
"ENSMUSG00000000253",2002,2321,1843,3411,2689,2948,2393
"ENSMUSG00000000263",0,0,0,0,1,0,0
"ENSMUSG00000000266",527,479,631,890,790,721,693
"ENSMUSG00000000275",1693,1584,2068,2940,2378,2472,2366
"ENSMUSG00000000276",119,150,160,347,274,330,356
"ENSMUSG00000000278",2163,2541,2817,3523,2783,3814,3450
"ENSMUSG00000000282",553,574,913,1561,1363,1480,1163
"ENSMUSG00000000290",79,102,102,1319,1106,943,1535
"ENSMUSG00000000295",143,163,201,388,280,352,262
"ENSMUSG00000000296",339,465,233,162,156,301,231
"ENSMUSG00000000301",72,78,45,114,88,92,81
"ENSMUSG00000000303",4731,4544,5946,9053,7739,7226,7416
"ENSMUSG00000000305",88,119,96,96,94,135,96
"ENSMUSG00000000308",1563,2094,1989,1253,1279,1390,1298
"ENSMUSG00000000317",243,319,278,610,513,574,439
"ENSMUSG00000000318",14,16,44,842,578,605,765
"ENSMUSG00000000320",153,197,206,91,98,135,84
"ENSMUSG00000000325",1732,2669,2058,1873,1368,1484,1119
"ENSMUSG00000000326",4452,4307,4275,8624,8089,7295,7169
"ENSMUSG00000000339",394,452,467,471,343,363,315
"ENSMUSG00000000340",2527,2067,2927,1387,1192,1222,1109
"ENSMUSG00000000346",5275,6248,6673,8703,6844,8366,7231
"ENSMUSG00000000355",406,491,542,814,574,683,599
"ENSMUSG00000000359",117,189,162,982,759,942,605
"ENSMUSG00000000365",0,8,2,6,7,6,15
"ENSMUSG00000000374",1478,1476,1878,1822,1501,1513,1398
"ENSMUSG00000000378",334,381,368,1016,774,920,753
"ENSMUSG00000000381",1,0,0,0,0,0,0
"ENSMUSG00000000384",1035,1150,1365,1220,1034,1154,891
"ENSMUSG00000000385",4211,4222,5074,3880,4046,3841,4421
"ENSMUSG00000000386",6,11,2,233,130,74,123
"ENSMUSG00000000392",8,12,5,177,67,109,79
"ENSMUSG00000000394",0,0,0,1,0,0,0
"ENSMUSG00000000399",3097,3931,4273,2121,1754,2033,1940
"ENSMUSG00000000402",906,1080,743,293,130,208,58
"ENSMUSG00000000409",30,39,21,383,270,331,356
"ENSMUSG00000000411",0,1,0,2,0,9,0
"ENSMUSG00000000416",442,449,447,596,496,782,764
"ENSMUSG00000000420",1791,2145,2493,3234,2806,2654,2505
"ENSMUSG00000000435",0,0,0,0,0,0,0
"ENSMUSG00000000439",337,366,454,557,454,489,459
"ENSMUSG00000000440",44,38,39,130,147,86,78
"ENSMUSG00000000441",703,611,762,1185,915,753,815
"ENSMUSG00000000486",137,166,188,298,252,426,366
"ENSMUSG00000000489",416,512,517,4741,3091,2912,1954
