"geneID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000029811",8710.65245761046,5.60504645427203,0.111608624554421,0,0
"ENSMUSG00000027896",3819.93062648367,-3.52668079156464,0.093060174433347,2.27227235729547e-261,2.53744654139185e-257
"ENSMUSG00000062908",24293.9019155407,-3.51243379675552,0.115829399772182,2.3173534859444e-168,1.72519242516941e-164
"ENSMUSG00000028222",5848.68073144877,-4.51408290695062,0.16122036072466,2.16380237461345e-150,1.20815905586542e-146
"ENSMUSG00000032332",5162.86441348419,4.57603376412737,0.165027861100151,3.02207668298925e-148,1.34990121275764e-144
"ENSMUSG00000036887",3638.59037543448,3.86941451846635,0.139067108800954,5.15244899095846e-145,1.91791326273444e-141
"ENSMUSG00000018796",8362.5749888963,-2.55167900068773,0.0875091013272764,1.79744607401368e-144,5.73488008814594e-141
"ENSMUSG00000036905",3072.52170984784,4.01004912136782,0.145134086188082,5.26176248381467e-144,1.46895254141896e-140
"ENSMUSG00000027870",18767.4793247115,-2.89708672195667,0.101592620520968,4.73353021738832e-143,1.17465182083501e-139
"ENSMUSG00000030364",1075.59333670536,-4.45573448669981,0.163302496372681,1.16849099294524e-142,2.6097077836439e-139
"ENSMUSG00000027962",8073.60241606076,5.49000981766395,0.212267380583699,1.40988304197809e-132,2.86257525995806e-129
"ENSMUSG00000036896",2913.40903308219,4.03914182063399,0.153045119744391,8.53200943137085e-132,1.5879491553353e-128
"ENSMUSG00000000957",2265.4272532104,3.74092371661013,0.140954308082254,1.53701714597912e-131,2.64059545679213e-128
"ENSMUSG00000006342",5764.43342373524,-2.78014815764871,0.101382033499759,3.83975425921906e-131,6.1255051160999e-128
"ENSMUSG00000049152",13340.4453642942,-3.36246554616688,0.125714322537634,1.40898415813123e-130,2.09788347918019e-127
"ENSMUSG00000039783",2151.96966113395,-3.16030047310877,0.117391919998667,1.83823165887019e-130,2.56594161682543e-127
"ENSMUSG00000035356",1481.23702764331,2.95008934534875,0.10880171802688,3.40848656726062e-130,4.4779493525411e-127
"ENSMUSG00000032047",6739.84100934225,-2.15815961928552,0.0762525380020562,2.5366352784746e-129,3.14740068385842e-126
"ENSMUSG00000072664",1757.02202999804,-4.89826144048306,0.193330144528115,2.64163527076682e-125,3.10517274406875e-122
"ENSMUSG00000003617",11516.1283258225,4.18353109313023,0.164672267703045,1.6448970995635e-123,1.83685659108256e-120
"ENSMUSG00000024757",5198.94816486918,-3.52724053778042,0.136533686545666,3.72514296860619e-123,3.96177824099289e-120
"ENSMUSG00000069456",3172.45627513673,-3.00709296329623,0.115241415039673,2.33263352529942e-121,2.36804714336532e-118
"ENSMUSG00000036083",6674.68979414621,-2.63082776050306,0.100057971243992,4.37080346938478e-119,4.24424020370608e-116
"ENSMUSG00000031725",1772.60927752908,-3.9465746447968,0.157718956420943,4.20228281209872e-118,3.9105743468922e-115
"ENSMUSG00000053897",1988.43227007735,-2.39412358600174,0.090925050398876,4.012346423553e-116,3.58446980094531e-113
"ENSMUSG00000074639",7497.63338765096,-3.44523501662877,0.138390990449031,3.70936060831781e-114,3.186340762545e-111
"ENSMUSG00000024501",2217.90240950808,3.20854655999644,0.128209456802289,1.00431467073078e-113,8.30754216892642e-111
"ENSMUSG00000006345",18264.4232672364,-2.4409001670893,0.0942641777700541,4.54665269080903e-113,3.62660504273317e-110
"ENSMUSG00000076441",11398.8642647037,-3.5668652176717,0.14446010453976,5.03592071136373e-113,3.87835355750336e-110
"ENSMUSG00000002983",872.842551499178,2.96621459483242,0.118817691881686,5.00602806947072e-111,3.72682103011863e-108
"ENSMUSG00000053168",903.318882814289,-5.37374624914793,0.227766112995204,2.80563128974539e-110,2.02132158790882e-107
"ENSMUSG00000026712",1258.19703761003,4.30908338984547,0.180319221220058,5.33524722269087e-110,3.72366910848681e-107
"ENSMUSG00000005087",2021.72401157724,5.98539195838574,0.256730126453265,7.7502627036177e-110,5.24528385523023e-107
"ENSMUSG00000063903",20010.1843942413,-3.93780373041446,0.163421945613128,9.13190262098978e-110,5.99858568050547e-107
"ENSMUSG00000001435",15216.9233175618,1.63508005914344,0.0601075219897831,6.32046037010011e-107,4.03317605445188e-104
"ENSMUSG00000078650",6330.03282152679,-4.66805655830136,0.199841342181513,3.53682109931711e-106,2.19420451200412e-103
"ENSMUSG00000028581",1790.26075871149,3.08581634638674,0.127475983452397,1.2595324933936e-105,7.60281046147366e-103
"ENSMUSG00000026368",1551.17489569644,-3.60838576171672,0.151936984634189,4.20753846410591e-105,2.47292536993004e-102
"ENSMUSG00000026043",20401.8393603135,5.04324693733451,0.219626592415774,2.72940179189826e-104,1.5630374261604e-101
"ENSMUSG00000030707",1008.13846734936,3.22361096132218,0.135000697451836,9.33936163114587e-104,5.2146325667503e-101
"ENSMUSG00000027995",699.60582841243,3.57783602804699,0.152134607915423,7.67567493934688e-103,4.1811835145213e-100
"ENSMUSG00000020182",2009.1633788621,-2.99514135984657,0.12577594642444,1.5973064294541e-101,8.49386709414949e-99
"ENSMUSG00000001025",2057.33864710694,3.62644169668618,0.155792855825849,3.3614943295267e-101,1.74594451989882e-98
"ENSMUSG00000001506",14999.7074512883,5.34436616767442,0.238353558175383,5.0906606458996e-101,2.58397306512549e-98
"ENSMUSG00000027332",5472.29256265813,-2.28818990049831,0.093083128578528,3.40267005139034e-100,1.68878295395004e-97
"ENSMUSG00000036330",1056.4602054042,-3.4180417766122,0.146758385962986,4.00039868011703e-100,1.94228052438552e-97
"ENSMUSG00000045136",1548.36278575293,3.26909883205835,0.140411390905933,4.07831339172e-99,1.9379798146952e-96
"ENSMUSG00000000154",7345.63331250059,-2.93473996885455,0.124673199339274,9.60610967003395e-99,4.46964277855288e-96
"ENSMUSG00000032085",4209.57913138701,3.04169128233649,0.130193082650237,2.97562445192393e-98,1.356277479781e-95
"ENSMUSG00000035910",3729.28105974558,3.59522739019723,0.15702807897676,6.41980553802536e-98,2.86759873772517e-95
"ENSMUSG00000071711",3188.05587248327,-2.28532348102132,0.0952555219355512,1.56304525440045e-95,6.84491229642739e-93
"ENSMUSG00000059498",623.606824116716,4.12222682934492,0.185041734333935,1.13434970944596e-94,4.87203200207039e-92
"ENSMUSG00000001755",3755.80560623753,-2.14938978563672,0.0895140100008309,8.69801327075082e-94,3.66530996960281e-91
"ENSMUSG00000045725",1140.8582974251,3.03609190714203,0.133121894510363,1.012586318326e-93,4.18798200620237e-91
"ENSMUSG00000006574",1014.19447661317,-4.65691917180563,0.213683076947479,6.00156539430813e-93,2.43707202757232e-90
"ENSMUSG00000023885",1616.73616929935,4.05590704384676,0.184225330278716,8.85094967253505e-93,3.52994839261425e-90
"ENSMUSG00000069805",14563.7215161582,-3.30795899493891,0.147892817903071,7.37411815805052e-92,2.8893606130158e-89
"ENSMUSG00000042102",3119.85223803744,-3.31746028159246,0.14924401946468,7.63647348186481e-91,2.94056894386153e-88
"ENSMUSG00000040659",2209.24356950724,2.21328347245791,0.0942186375367356,9.70156849328056e-91,3.67245475811743e-88
